id,services_real_0,services_real_0,services_real_0,services_img_0,services_img_0,services_img_0,services_real_1,services_real_1,services_real_1,services_img_1,services_img_1,services_img_1
44.0,-0.34587605907034547,-0.38304252345002376,-0.821833806042442,0.938029369067011,-0.04199118627495915,-0.297791395056961,-0.3056416434646708,0.13184271530143066,0.17694445849908694,0.8946463984004256,-0.38871881328926683,0.41435998844693545
45.0,-0.3592899647094851,-0.2742614546472172,-0.7508025076956063,0.9303873851400245,0.08122479185763326,0.056881687028744854,-0.35745432844123026,-0.1347313039346829,0.0793426845145284,0.9236084182967732,-0.5214310524330653,0.2794222344593741
46.0,-0.6476440878985921,-0.15081291001875718,0.20594243947095606,0.734396616633775,-0.06463729175295851,0.8146478245958695,-0.6031859046340742,-0.12560293024946806,-0.21768995224941962,0.740160271145555,0.22145857914839195,0.5754376171216243
47.0,-0.3553732690616396,0.2522090249705987,-0.19386264159069178,0.8675745106513056,-0.268422638115657,0.729184744329705,-0.2823262507996811,-0.37877068350595106,0.027415072024625335,0.8868758943979707,-0.16884764133478133,-0.03695841195073413
48.0,-0.3317962795764995,0.42789261222396424,-0.02024087164540694,0.9007931518330066,-0.5131158858960014,0.013131128121754654,-0.36306930460606524,-0.38359202339738196,0.09961712182955969,0.7812622573230575,-0.20634710759355768,-0.18240274987989222
49.0,-0.5306923826396377,0.9534164893853719,0.0534177543435851,0.8475645078743355,0.30165708638795957,-0.9985722525290237,-0.4946415788151549,-0.3774526576281241,-0.0036442457541903395,0.7305546575289228,-0.63182523479212,-0.29455162235594934
50.0,0.8495814302853695,-0.3486654508472691,-0.7986267573691777,0.5180997998857262,0.30903745670173477,0.2317730228647885,0.7292005669416846,-0.29128096540450343,-0.29033598384280823,0.6169149402708131,0.12982464161535942,-0.3321300396252564
51.0,0.7919867556937905,-0.17418477355841766,-0.46698862140962394,0.6052579163892532,0.14635329198207098,-0.44339927882465957,0.7510959646467001,-0.34999466389472633,-0.673160290793874,0.6300366710697163,0.6547697438491504,-0.0521539359047703
52.0,0.7351514357569892,-0.7083891458386481,-0.1360146812454344,0.6568034915086671,0.4779067386865016,-0.5734115288245624,0.6030335888535833,-0.2693447970105867,-0.720868408479048,0.6512861290295271,0.28778159279823806,0.18700162336974394
53.0,0.6604635093742741,0.008731023183555335,-0.2680046488733663,0.588683412914519,-0.23478610582249426,0.020420688773452614,0.6523973811549344,-0.08455327763844842,-0.2394041036394401,0.5483255170295167,-0.22763386895304055,0.14165779261554418
54.0,0.6386258417651076,-0.21955577917884697,-0.34494072970204614,0.7374672606496853,0.8105307216607356,-0.07437941798161002,0.5894949311621235,0.1910238800705513,-0.3006773900813597,0.7576021495419345,-0.07337489133035381,-0.341171897512312
55.0,0.7650806218896238,-0.48176276165806303,-0.8759133853103982,0.6345429526737374,0.8447410531849809,-0.3138554125974894,0.6832970499097816,-0.163852857076594,-0.11868357167310495,0.6879717606433721,0.20429172806915466,-0.5780191763623941
