id,learning_real_0,learning_real_0,learning_real_0,learning_img_0,learning_img_0,learning_img_0,learning_real_1,learning_real_1,learning_real_1,learning_img_1,learning_img_1,learning_img_1
30.0,0.6924707807774493,-0.0719037431383364,-0.09264334158574951,0.7169650670432104,-0.2532541250671483,0.26056324715969825,0.7020120126490013,-0.18337768539654392,0.21365168198478035,0.7078475953170602,-0.3432064822956754,0.082611227596727
31.0,0.6622389309391894,-0.48022278483077885,-0.0944644088982526,0.7452648514741906,-0.1676918685376232,0.4541008402181913,0.6482804706414954,-0.29258278531150594,-0.18030190438393462,0.7561840815623687,-0.4957098036759172,0.30718452391888107
32.0,0.7573819790712907,0.538474097666689,0.08879335207997259,0.6527290788703901,-0.49388206430307846,-0.23898437155657526,0.7257098219755712,-0.08400983262338174,-0.3156797660372569,0.6835901734730829,-0.10654020792618603,0.25476941926944235
33.0,0.6718020728529969,-0.6987170418391925,0.48774530287629425,0.7364748623702579,-0.529920595077332,0.18004065047726764,0.6228750546108982,-0.02493232205668662,0.2340672097632352,0.7763280384433577,0.20795496600632823,0.18160643665785708
34.0,0.5830894324703834,-0.6760581273776176,0.00723752366174385,0.8085779737318975,-0.24233332103793964,-0.22924551238529223,0.5777805645848192,-0.4532378645207989,0.3945514014991462,0.8087492256095096,-0.11636957537082107,0.28930621851897265
35.0,0.6692811986766537,-0.1297864854185639,-0.45549989522779827,0.7430092039119984,-0.9915419649226638,0.8902358369822374,0.6622389309391894,-0.48022278483077885,-0.0944644088982526,0.7452648514741906,-0.1676918685376232,0.4541008402181913
36.0,0.7430975001157659,-0.1272401690162645,-0.5913737777374044,0.6649769083448108,-0.29767418352779845,0.5072074361339651,0.7572065188719102,0.7347833809513615,0.29930615990835,0.6518322142455324,-0.11256725277399968,-0.3981521626824606
37.0,0.7415611850334987,-0.05288558571554433,-0.2630221787886168,0.6688285450312278,0.23130768481638864,-0.0034624254853362554,0.7504900555922165,0.36579328822858315,0.028364225863657087,0.6593802930648658,-0.00588137430339189,-0.4077465454017267
38.0,0.569308629307753,0.23100467215681342,0.8491613777402206,0.8211135877573408,0.20767787508489718,0.2390244578828302,0.5773968543329147,-0.6139976018228919,0.7521210378899701,0.80829382483913,-0.3825377225796939,0.14695202081079273
39.0,0.6068457537474926,-0.23389789518853688,-0.05431640686476541,0.7909054605295223,0.6694411480012359,0.04523160493104286,0.6382250835189106,-0.42876244574648825,0.18001387005424885,0.7608107603061838,-0.2149005216495578,-0.3038855919605085
40.0,-0.2945180892673073,-0.6738620809186899,-0.7207533070021039,0.9494015044565094,0.6379188438290477,0.21262735262002289,-0.2816612738467368,0.15057355774368147,0.5159652312407753,0.9304401388995918,-0.10806344378298739,0.032472566176117185
41.0,-0.23623064331614768,-0.3561894252264185,0.6300825461984636,0.9688018129480908,-0.09247511385000703,0.14573086474654787,-0.21717960695229388,-0.2668956451267793,-0.27905983203863244,0.9609162033769507,0.49964854152344773,0.280221267792913
